"id_casa","casa","pais","campanias_activas","currency","impuestos","com_bet","com_cpa","com_rs","com_ff","com_bookie","com_total","balance","margen_beneficio","requiere_factura","datos_facturacion","cobrado","fecha_cobro","comentarios","factura","estado","created","modify"
"1","Betwarrior","LATAM","","EUR","0.00","0.00","","","","","","","","1","GoforLA B.V E-Commerce Park Vredenberg Hoek Curacao registration number 146039 Chytron 30, 2nd floor, office A22, 1075, Nicosia, Cyprus","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"2","Luckia Colombia","CO","87","EUR","0.00","2795.00","","","","","","","","1","LUCKIA COLOMBIA SAS Calle 26 sur 48-41 Envigado, Antioquia Colombia NIT 901004257-2","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"3","Yajuego (betandeal)","CO","20","EUR","0.00","4160.00","25.00","","","","","","","0","GAMES AND BETTING SAS CALLE 106 Nº23-61 piso 4 BOGOTA D.C COLOMBIA VAT number 901.153.940-3","0","","","","Cobrado Empresa","2022-03-09 08:32:17","2022-03-09 08:33:53"
"4","Rivalo","LATAM","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"5","Codere Colombia","CO","21","EUR","0.00","140.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"6","Zamba","CO","","EUR","0.00","0.00","","","","","","","","0","E TOTAL GAMING SAS NIT 901.033.283-8 Teléfono (031) 6558270 Dirección CL 90 14 26 OF 502 Ciudad Bogotá - Colombia","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"7","Pinnacle","LATAM","11,133","EUR","0.00","20.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"8","Rushbet","CO","147","EUR","0.00","10220.00","","","","","","","","0","RUSH STREET INTERACTIVE, LATIN AMERICA 900 N. MICHIGAN AVE, SUITE 1600, CHICAGO, ILLINOIS, 60611 RUSH STREET INTERACTIVE COLOMBIA S.A.S CARRERA 13 #93- 68 OFICINA 509 NIT. 901.135.239-1","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"10","Codere México","MX","22,208","EUR","0.00","5250.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"11","Caliente","MX","15","EUR","0.00","40.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"12","1xbet","LATAM","","EUR","0.00","0.00","","","","","","","","1","CHIGWELL LIMITED 19H Maxgrand Plaza, No.3 Tai Yau Street, San Po Kong, Kowloon, Hong Kong Reg. Numbet: 2179493","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"13","Dafabet","LATAM","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"15","Betcris","LATAM","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"16","BetAlfa","CO","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"17","Interwetten","ES","179","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"18","888 LATAM","LATAM","80","EUR","0.00","625.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"19","William Hill LATAM","LATAM","18","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"20","Betfair LATAM","LATAM","16,205","EUR","0.00","925.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"21","AquiJuego","CO","","EUR","0.00","0.00","","","","","","","","1","GRUPO AQUÍ APUESTO S.A.S. NIT 901.147.351-0 Teléfono (031) 6404184 Dirección CR 15 106 32 OF P H 3 Ciudad Bogotá - Colombia","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"22","Betfair","ES","23,182,203","EUR","0.00","300.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
"24","Paston","ES","","EUR","0.00","0.00","","","","","","","","0","","0","","","","","2022-03-09 08:32:17","2022-03-09 08:32:17"
